drug_id,old_selling_price
122043,70.92
122639,26.49
122869,28.57
122955,43.82
124679,360.92
126403,1665.46
136915,359.76
145059,353.01
145209,273.27
146385,51.62
148951,17.64
151473,131.4
152557,412.43
155929,223.13
156773,72.95
158987,84.01
159067,60.56
160505,56.52
160605,425.96
161307,46.99
161317,89.65
161685,381.3
164507,40.56
164681,178.2
166101,211.14
166511,91.04
167199,715.59
168059,117.63
168083,259.03
168133,379.78
168295,32.67
168653,38.69
171371,112.94
171483,333.68
172269,77.3
173395,442.75
173521,122.4
173535,143.83
173713,55.16
174617,38.25
177365,246.35
178305,197.01
199639,103.28
200169,115.21
200181,67.2
200265,68.01
200291,199.22
200365,125.51
200629,48.73
200675,195.24
200735,36.59
201271,155.39
201279,109.99
201335,127.5
201401,211.96
201971,52.78
202049,104.21
202125,128.85
202533,218.47
203347,158.98
203887,264.64
204605,47.17
204807,88.4
206425,77.03
206549,137.7
206677,97.96
206899,169.32
206945,258.99
207149,11.47
207627,106.79
210149,192.85
210201,74.8
210649,453.42
210721,32.13
211089,40.64
212077,152.2
213041,30.26
214263,23.9
214917,89.25
215351,12.75
215435,12.97
216165,15.43
216641,130.05
218195,144.4
220227,115.13
222151,481.8
223691,54.07
229987,248.63
230989,92.1
234129,57.01
234715,193.64
240049,61.0
242883,2071.48
244865,165.1
247793,40.74
252277,198.82
252323,234.79
255141,289.85
255183,189.85
256225,69.63
260989,178.19
261317,34.26
267357,153.79
275367,317.95
277149,65.03
278645,103.6
280069,56.1
294981,51.71
297503,672.01
297755,108.85
300951,179.54
310237,167.87
312353,134.67
315821,148.21
315963,333.1
318237,179.73
320187,152.79
327281,23.96
341201,73.17
341759,366.16
345601,156.99
348089,49.98
348265,515.82
353651,178.56
354197,817.39
360225,175.31
361435,112.98
361681,647.1
362665,101.2
363803,200.81
385151,61.0
385155,46.96
385169,42.0
385271,19.0
385321,69.91
385331,33.75
385333,16.88
385483,80.5
385487,21.0
385567,18.0
385599,341.66
389553,1551.19
391117,43.79
394745,527.0
395073,28.5
395119,246.19
395205,468.35
395353,139.5
396247,275.4
396303,21.9
396481,125.0
396599,291.0
399225,21.98
399353,18.99
399453,141.72
399553,276.12
399557,34.29
399643,99.0
399669,42.55
399757,202.5
399923,239.88
399953,204.89
400103,155.74
400151,112.75
400179,290.18
400313,189.0
400401,72.0
400885,478.27
401020,8.1
401104,128.8
401389,191.13
401470,44.26
401536,30.0
401680,139.4
401683,805.0
402585,103.13
402879,240.81
403062,134.41
403071,288.0
403191,40.38
403419,37.43
403521,374.0
403623,61.36
403824,100.0
404160,115.6
404781,380.91
405906,82.68
406183,9.0
406333,231.07
406410,133.59
406473,1228.2
406668,50.99
406686,143.65
406748,55.1
406772,223.06
406990,114.3
407136,40.5
407631,193.95
407705,43.73
407986,18.0
408004,24.69
408082,115.55
408195,81.77
408423,141.01
408439,108.9
408525,236.44
408789,260.95
408795,355.3
